2022-03-04,FC Midtjylland,Viborg,3 - 1
2022-03-04,FC Kobenhavn,Randers FC,3 - 0
2022-03-06,SonderjyskE,Odense BK,2 - 2
2022-03-06,Aalborg BK,Vejle BK,0 - 0
2022-03-06,Silkeborg,Brondby IF,0 - 1
2022-03-07,AGF Aarhus,Nordsjaelland,2 - 3
2022-03-11,Nordsjaelland,SonderjyskE,1 - 1
2022-03-13,Randers FC,Silkeborg,2 - 1
2022-03-13,Viborg,Vejle BK,2 - 0
2022-03-13,Brondby IF,AGF Aarhus,1 - 1
2022-03-13,FC Midtjylland,FC Kobenhavn,0 - 1
2022-03-14,Odense BK,Aalborg BK,2 - 3
2022-03-20,Aalborg BK,Brondby IF,3 - 0
2022-03-20,AGF Aarhus,Viborg,1 - 1
2022-03-20,FC Kobenhavn,Nordsjaelland,1 - 0
2022-03-20,Silkeborg,FC Midtjylland,0 - 1
2022-03-20,SonderjyskE,Randers FC,1 - 1
2022-03-20,Vejle BK,Odense BK,2 - 0
